city,city_ascii,state_id,,,county_name,lat,lng,population
Oxnard,Oxnard,CA,,,Ventura,34.1964,-119.1815,373423
Indio,Indio,CA,,,Riverside,33.7346,-116.2346,371926
Victorville,Victorville,CA,,,San Bernardino,34.5277,-117.3536,363596
Trenton,Trenton,NJ,,,Mercer,40.2237,-74.7641,362501
Huntsville,Huntsville,AL,,,Madison,34.6981,-86.6412,359389
Modesto,Modesto,CA,,,Stanislaus,37.6375,-121.0028,355686
Honolulu,Honolulu,HI,,,Honolulu,21.3294,-157.846,346323
Greensboro,Greensboro,NC,,,Guilford,36.0956,-79.8271,345858
Fort Wayne,Fort Wayne,IN,,,Allen,41.0888,-85.1436,345279
Anaheim,Anaheim,CA,,,Orange,33.839,-117.8574,344553
Corpus Christi,Corpus Christi,TX,,,Nueces,27.7254,-97.3767,339432
Fort Collins,Fort Collins,CO,,,Larimer,40.5477,-105.0656,339256
Antioch,Antioch,CA,,,Contra Costa,37.9787,-121.796,333347
Jackson,Jackson,MS,,,Hinds,32.3157,-90.2125,331332
Fayetteville,Fayetteville,NC,,,Cumberland,35.085,-78.9772,326821
Myrtle Beach,Myrtle Beach,SC,,,Horry,33.7094,-78.8844,325829
Henderson,Henderson,NV,,,Clark,36.0133,-115.0381,324523
Mobile,Mobile,AL,,,Mobile,30.6782,-88.1162,324067
Lexington,Lexington,KY,,,Fayette,38.0423,-84.4587,321122
Lansing,Lansing,MI,,,Ingham,42.7142,-84.5601,318001
Savannah,Savannah,GA,,,Chatham,32.0286,-81.1821,316446
Youngstown,Youngstown,OH,,,Mahoning,41.0993,-80.6463,315751
Ann Arbor,Ann Arbor,MI,,,Washtenaw,42.2759,-83.731,314647
Santa Ana,Santa Ana,CA,,,Orange,33.7367,-117.8819,311639
Irvine,Irvine,CA,,,Orange,33.6772,-117.7738,308160
St. Paul,St. Paul,MN,,,Ramsey,44.9478,-93.1039,307762
Poughkeepsie,Poughkeepsie,NY,,,Dutchess,41.695,-73.9211,307738
Newark,Newark,NJ,,,Essex,40.7245,-74.1725,307188
Santa Rosa,Santa Rosa,CA,,,Sonoma,38.4458,-122.7067,299986
Concord,Concord,NC,,,Cabarrus,35.3933,-80.6369,297379
Winter Haven,Winter Haven,FL,,,Polk,28.0118,-81.7014,296830
Asheville,Asheville,NC,,,Buncombe,35.5707,-82.5537,295040
Canton,Canton,OH,,,Stark,40.8078,-81.3676,293657
Lincoln,Lincoln,NE,,,Lancaster,40.8099,-96.6784,293055
Flint,Flint,MI,,,Genesee,43.0236,-83.6921,291688
Lakeland,Lakeland,FL,,,Polk,28.0557,-81.9545,290762
Jersey City,Jersey City,NJ,,,Hudson,40.7184,-74.0686,289691
Anchorage,Anchorage,AK,,,Anchorage,61.1508,-149.1091,289069
Springfield,Springfield,MO,,,Greene,37.1943,-93.2916,289041
Plano,Plano,TX,,,Collin,33.0502,-96.7486,287339
Lubbock,Lubbock,TX,,,Lubbock,33.5657,-101.8879,283024
Davenport,Davenport,IA,,,Scott,41.5565,-90.6053,282356
Reading,Reading,PA,,,Berks,40.34,-75.9267,280030
Shreveport,Shreveport,LA,,,Caddo,32.4653,-93.7955,278269
Chandler,Chandler,AZ,,,Maricopa,33.2825,-111.8514,278123
South Bend,South Bend,IN,,,St. Joseph,41.6767,-86.2696,275725
Wilmington,Wilmington,NC,,,New Hanover,34.2099,-77.8866,275128
Chula Vista,Chula Vista,CA,,,San Diego,32.6281,-117.0144,275030
Rockford,Rockford,IL,,,Winnebago,42.2596,-89.064,274256
Eugene,Eugene,OR,,,Lane,44.0564,-123.1174,272737
Salem,Salem,OR,,,Marion,44.9233,-123.0244,272331
Gilbert,Gilbert,AZ,,,Maricopa,33.31,-111.7463,271118
North Las Vegas,North Las Vegas,NV,,,Clark,36.2883,-115.0888,270773
Santa Clarita,Santa Clarita,CA,,,Los Angeles,34.4175,-118.4964,265529
Peoria,Peoria,IL,,,Peoria,40.752,-89.6154,262461
Tallahassee,Tallahassee,FL,,,Leon,30.4551,-84.2527,261271
Killeen,Killeen,TX,,,Bell,31.0753,-97.7297,261099
St. Petersburg,St. Petersburg,FL,,,Pinellas,27.7931,-82.6652,260646
Kennewick,Kennewick,WA,,,Benton,46.1978,-119.1732,260091
Columbus,Columbus,GA,,,Muscogee,32.51,-84.8771,257578
Laredo,Laredo,TX,,,Webb,27.5625,-99.4874,255949
Irving,Irving,TX,,,Dallas,32.8583,-96.9702,255036
Round Lake Beach,Round Lake Beach,IL,,,Lake,42.3791,-88.0811,252224
Montgomery,Montgomery,AL,,,Montgomery,32.3482,-86.2668,251545
Chesapeake,Chesapeake,VA,,,Chesapeake,36.6778,-76.3023,251153
Glendale,Glendale,AZ,,,Maricopa,33.5791,-112.2311,250193
Nashua,Nashua,NH,,,Hillsborough,42.7491,-71.491,247828
York,York,PA,,,York,39.9651,-76.7315,246769
Garland,Garland,TX,,,Dallas,32.91,-96.6304,245298
Rock Hill,Rock Hill,SC,,,York,34.9415,-81.0241,244403
Scottsdale,Scottsdale,AZ,,,Maricopa,33.6872,-111.8651,242169
Aguadilla,Aguadilla,PR,,,Aguadilla,18.4382,-67.1537,235546
