city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Whale Pass,Whale Pass,AK,Alaska,2198,Prince of Wales-Hyder,56.1053,-133.1243,64,1.2,shape,FALSE,TRUE,America/Sitka,3,99921,1840023644
Sleetmute,Sleetmute,AK,Alaska,2050,Bethel,61.6516,-157.1251,61,0,shape,FALSE,FALSE,America/Anchorage,3,99668,1840023346
St. George,St. George,AK,Alaska,2016,Aleutians West,56.5791,-169.6114,59,0.5,shape,FALSE,TRUE,America/Nome,3,99591,1840023263
Mendeltna,Mendeltna,AK,Alaska,2066,Copper River,62.1359,-146.5388,58,0,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023682
Mud Bay,Mud Bay,AK,Alaska,2100,Haines,59.1518,-135.3585,58,1.8,shape,FALSE,FALSE,America/Juneau,3,99827,1840023657
Oscarville,Oscarville,AK,Alaska,2050,Bethel,60.7288,-161.7728,56,8.3,shape,FALSE,FALSE,America/Anchorage,3,99559,1840023344
Chenega,Chenega,AK,Alaska,2063,Chugach,60.0757,-148.0194,54,0.6,shape,FALSE,FALSE,America/Anchorage,3,99574,1840137228
Pilot Point,Pilot Point,AK,Alaska,2164,Lake and Peninsula,57.5585,-157.6798,54,0,shape,FALSE,TRUE,America/Anchorage,3,99649,1840000190
Chistochina,Chistochina,AK,Alaska,2066,Copper River,62.5921,-144.8136,52,0,shape,FALSE,FALSE,America/Anchorage,3,99586,1840023393
Tolsona,Tolsona,AK,Alaska,2066,Copper River,62.0844,-146.092,51,0,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023663
Egegik,Egegik,AK,Alaska,2164,Lake and Peninsula,58.2181,-157.4036,50,0,shape,FALSE,TRUE,America/Anchorage,3,99579,1840023294
Circle,Circle,AK,Alaska,2290,Yukon-Koyukuk,65.7936,-144.1813,48,0.3,shape,FALSE,FALSE,America/Anchorage,3,99733,1840023435
Pelican,Pelican,AK,Alaska,2105,Hoonah-Angoon,57.9576,-136.2176,45,31.7,shape,FALSE,TRUE,America/Juneau,3,99832,1840023315
Iliamna,Iliamna,AK,Alaska,2164,Lake and Peninsula,59.7957,-154.8698,45,0.1,shape,FALSE,FALSE,America/Anchorage,3,99606,1840023284
Koyukuk,Koyukuk,AK,Alaska,2290,Yukon-Koyukuk,64.9008,-157.6946,44,3,shape,FALSE,TRUE,America/Anchorage,3,99754,1840023453
